Course ID,Type,Identifier,Topic Name,Topic Link,Entity Type
40355,Slide,4,YouTube,http://dbpedia.org/resource/YouTube,ORG
40355,Slide,4,Winograd,http://dbpedia.org/resource/Terry_Winograd,GPE
40355,Slide,4,Rumelhart,http://dbpedia.org/resource/David_Rumelhart,PERSON
40355,Slide,4,OWL,http://dbpedia.org/resource/Web_Ontology_Language,ORG
40355,Slide,4,SKOS,http://dbpedia.org/resource/Simple_Knowledge_Organization_System,ORG
40355,Slide,4,Knowledge Navigator,http://dbpedia.org/resource/Knowledge_Navigator,WORK_OF_ART
40355,Slide,4,Semantic Networks,http://dbpedia.org/resource/Semantic_network,ORG
40355,Slide,4,Description Logic,http://dbpedia.org/resource/Description_logic,PERSON
40355,Slide,4,Oracle Spatial,http://dbpedia.org/resource/Oracle_Spatial_and_Graph,ORG
40355,Slide,4,Wikidata,http://dbpedia.org/resource/Wikidata,ORG
40355,Slide,4,YAGO,http://dbpedia.org/resource/YAGO_(database),ORG
40355,Slide,4,IRI,http://dbpedia.org/resource/Internationalized_Resource_Identifier,ORG
40355,Slide,4,Java,http://dbpedia.org/resource/Java_virtual_machine,GPE
40355,Slide,4,PHP,http://dbpedia.org/resource/PHP,ORG
40355,Slide,4,Harper Collins,http://dbpedia.org/resource/HarperCollins,PERSON
40355,Slide,4,London,http://dbpedia.org/resource/London,GPE
40355,Slide,4,WordNet,http://dbpedia.org/resource/WordNet,ORG
40355,Slide,4,GeoNames,http://dbpedia.org/resource/GeoNames,ORG
40355,Slide,4,Julia,http://dbpedia.org/resource/Julia_the_Elder,GPE
40355,Slide,4,Liverpool,http://dbpedia.org/resource/Liverpool,GPE
40355,Slide,4,Alfred Lennon,http://dbpedia.org/resource/Alfred_Lennon,PERSON
40355,Slide,4,Stuart Russell,http://dbpedia.org/resource/Stuart_J._Russell,PERSON
40355,Slide,4,Peter Norvig,http://dbpedia.org/resource/Peter_Norvig,PERSON
40355,Slide,4,Prentice Hall,http://dbpedia.org/resource/Prentice_Hall,PERSON
40355,Slide,5,Recommender Systems,http://dbpedia.org/resource/Recommender_system,PERSON
